lng,lat
-103.498456,20.731704
-103.482023,20.708162
-103.478527,20.727631
-103.472355,20.708998
-103.482642,20.737628
-103.489110,20.725505
-103.477716,20.725308
-103.477498,20.716528
-103.485965,20.726772
-103.484844,20.721407
-103.466141,20.713477
-103.492192,20.720315
-103.494063,20.734578
-103.482332,20.743027
-103.496719,20.696633
-103.480713,20.719541
-103.457697,20.715510
-103.474265,20.737397
-103.490056,20.703019
-103.481680,20.720193
-103.488986,20.720182
-103.484472,20.710303
-103.472862,20.729972
-103.475429,20.729616
-103.489807,20.716975
-103.502417,20.722312
-103.478645,20.724677
-103.490537,20.732661
-103.480804,20.702053
-103.475208,20.728244
-103.480229,20.708276
-103.475188,20.712869
-103.487323,20.724069
-103.474248,20.721054
-103.497702,20.721588
-103.478096,20.716589
-103.492680,20.712507
-103.476680,20.715267
-103.481178,20.729332
-103.486821,20.722800
-103.483828,20.718793
-103.482591,20.730652
-103.488660,20.725660
-103.483265,20.724682
-103.491973,20.744874
-103.480433,20.720882
-103.486362,20.721725
-103.480034,20.747991
-103.499270,20.715457
-103.477711,20.720891
-103.496178,20.703650
-103.492371,20.728121
-103.476571,20.723365
-103.486960,20.726649
-103.489560,20.723557
-103.500014,20.735572
-103.491369,20.733786
-103.489494,20.728838
-103.490024,20.728923
-103.490431,20.718839
-103.469975,20.717985
-103.475479,20.709901
-103.489708,20.712130
-103.475013,20.713723
-103.469947,20.698376
-103.509947,20.711769
-103.475879,20.731278
-103.484336,20.719392
-103.498042,20.707923
-103.491840,20.715032
-103.492408,20.713769
-103.503196,20.716010
-103.494215,20.731613
-103.506919,20.743442
-103.473656,20.721486
-103.474358,20.710204
-103.498148,20.730401
-103.507762,20.728913
-103.483145,20.725562
-103.480023,20.737732
-103.484609,20.717662
-103.486353,20.703353
-103.481336,20.718991
-103.490771,20.725462
-103.469101,20.710575
-103.481135,20.730388
-103.480045,20.742641
-103.491184,20.726524
-103.490495,20.715270
-103.479266,20.727609
-103.486246,20.733674
-103.490717,20.716415
-103.481519,20.717899
-103.496263,20.705363
-103.498198,20.704324
-103.490627,20.742491
-103.489094,20.717018
-103.502987,20.713094
-103.504308,20.727519
-103.486352,20.741616
-103.496945,20.725277
-103.481893,20.723862
-103.478287,20.726447
-103.489677,20.709481
-103.479234,20.719561
-103.485112,20.731548
-103.476287,20.723112
-103.483230,20.703064
-103.498400,20.714784
-103.491885,20.720369
-103.487028,20.730153
-103.474418,20.723125
-103.488844,20.713450
-103.492655,20.724787
-103.491589,20.723415
-103.487256,20.729998
-103.496115,20.717145
-103.484609,20.718787
-103.486847,20.734699
-103.477716,20.725624
-103.471055,20.738799
-103.482848,20.734370
-103.474898,20.730356
-103.497772,20.719789
-103.485590,20.727805
-103.493814,20.715087
-103.497625,20.718694
-103.486386,20.720573
-103.492657,20.733764
-103.488028,20.718908
-103.488502,20.733917
-103.481690,20.735421
-103.490832,20.729076
-103.481314,20.717462
-103.489207,20.732797
-103.488551,20.727419
-103.500292,20.739884
-103.492703,20.729685
-103.475501,20.715117
-103.489278,20.725440
-103.496954,20.735657
-103.498480,20.737404
-103.480139,20.735699
-103.489934,20.738388
-103.483357,20.718809
-103.456544,20.709521
-103.477268,20.717632
-103.486118,20.716871
-103.475769,20.746942
-103.489244,20.741986
-103.491445,20.718470
-103.477803,20.740998
-103.494488,20.718879
-103.503403,20.731500
-103.499346,20.708975
-103.486722,20.706362
-103.489732,20.732706
-103.492874,20.719224
-103.473856,20.722533
-103.519749,20.729986
-103.486268,20.731053
-103.482761,20.740358
-103.485049,20.708730
-103.483084,20.724224
-103.474207,20.717896
-103.485451,20.707797
-103.462170,20.721170
-103.469860,20.719229
-103.487842,20.711888
-103.489848,20.724421
